Call No,Date,Time,Equipment,Problem Description,Attended By,Time to Resolve (hrs),Status,Remarks,shift,sheet_name,machine
N13-010,2025-05-26,18:45,Pump-2,Limit switch failure — door interlock,A. Patel,3.6,Closed,Preventive maintenance scheduled,Night,Hydro-Test-2,Hydro-Test-2
N13-011,2025-05-05,18:30,Motor-B,Encoder signal lost on servo axis,R. Sharma,1.8,Open,Repaired and tested OK,Night,Hydro-Test-2,Hydro-Test-2
N13-012,2025-05-19,18:45,Cylinder-Main,Coating thickness alarm,K. Yadav,3.0,Closed,Repaired and tested OK,Night,Hydro-Test-2,Hydro-Test-2
D14-001,2025-05-20,09:30,Cylinder-Main,Torch height error — cutting machine,N. Das,2.3,Closed,,Day,Weld-Seam-Scanner,Weld-Seam-Scanner
D14-002,2025-05-07,09:15,Pump-1,Hydraulic leak in main cylinder,D. Mehta,0.7,Closed,Repaired and tested OK,Day,Weld-Seam-Scanner,Weld-Seam-Scanner
D14-003,2025-05-21,06:45,Cylinder-Main,PLC fault code F-204 — sensor error,A. Patel,4.5,Closed,,Day,Weld-Seam-Scanner,Weld-Seam-Scanner
D14-004,2025-05-30,08:30,Motor-B,Motor overheating — bearing failure,A. Patel,7.2,Closed,Escalated to OEM,Day,Weld-Seam-Scanner,Weld-Seam-Scanner
D14-005,2025-05-17,07:00,Pump-1,Chain elongation on drive chain,D. Mehta,1.1,Closed,Resolved by operator adjustment,Day,Weld-Seam-Scanner,Weld-Seam-Scanner
D14-006,2025-05-10,08:15,Cylinder-Main,Vibration high on spindle motor,S. Kumar,7.4,Closed,Escalated to OEM,Day,Weld-Seam-Scanner,Weld-Seam-Scanner
D14-007,2025-05-21,13:30,Pump-2,Conveyor belt slip / misalignment,A. Patel,1.5,Open,Spare part ordered — pending,Day,Weld-Seam-Scanner,Weld-Seam-Scanner
D14-008,2025-05-27,07:15,PLC-Panel,Hydraulic valve stuck open,S. Kumar,3.5,Closed,Root cause: wear and tear,Day,Weld-Seam-Scanner,Weld-Seam-Scanner
D14-009,2025-05-17,10:45,Cylinder-Main,PLC fault code F-204 — sensor error,P. Gupta,1.7,Closed,Repaired and tested OK,Day,Weld-Seam-Scanner,Weld-Seam-Scanner
D14-010,2025-05-25,11:15,Motor-B,Electrical trip — overload relay,A. Patel,7.8,Closed,Repaired and tested OK,Day,Weld-Seam-Scanner,Weld-Seam-Scanner
D14-011,2025-05-10,10:30,Pump-1,Hydraulic leak in main cylinder,D. Mehta,6.9,Closed,Root cause: wear and tear,Day,Weld-Seam-Scanner,Weld-Seam-Scanner
D14-012,2025-05-28,13:00,Pump-1,PLC fault code F-204 — sensor error,R. Sharma,1.0,Open,Root cause: wear and tear,Day,Weld-Seam-Scanner,Weld-Seam-Scanner
D14-013,2025-05-27,09:45,Conveyor-Drive,Gear coupling worn — noise detected,P. Gupta,4.9,Closed,Spare part ordered — pending,Day,Weld-Seam-Scanner,Weld-Seam-Scanner
D14-014,2025-05-31,07:15,PLC-Panel,Pneumatic pressure drop in actuator,P. Gupta,7.3,Open,Escalated to OEM,Day,Weld-Seam-Scanner,Weld-Seam-Scanner
D14-015,2025-05-28,06:45,Motor-A,Coolant pump not starting,N. Das,3.7,Closed,,Day,Weld-Seam-Scanner,Weld-Seam-Scanner
N14-001,2025-05-31,21:45,Pump-1,Control panel display blank,A. Patel,7.3,Closed,,Night,Weld-Seam-Scanner,Weld-Seam-Scanner
N14-002,2025-05-03,19:00,Pump-2,Chain elongation on drive chain,K. Yadav,4.2,Open,,Night,Weld-Seam-Scanner,Weld-Seam-Scanner
N14-003,2025-05-30,18:30,Gearbox,Pneumatic pressure drop in actuator,D. Mehta,2.0,Open,Root cause: wear and tear,Night,Weld-Seam-Scanner,Weld-Seam-Scanner
N14-004,2025-05-11,22:00,Gearbox,Electrical trip — overload relay,S. Kumar,4.1,Open,Escalated to OEM,Night,Weld-Seam-Scanner,Weld-Seam-Scanner
N14-005,2025-05-02,22:30,Gearbox,Vibration high on spindle motor,M. Singh,0.7,Closed,Repaired and tested OK,Night,Weld-Seam-Scanner,Weld-Seam-Scanner
N14-006,2025-05-03,20:00,PLC-Panel,Encoder signal lost on servo axis,S. Kumar,6.3,Open,Temporary fix applied,Night,Weld-Seam-Scanner,Weld-Seam-Scanner
N14-007,2025-05-28,19:15,Cylinder-Main,Air compressor pressure low,R. Sharma,6.2,Open,Resolved by operator adjustment,Night,Weld-Seam-Scanner,Weld-Seam-Scanner
N14-008,2025-05-20,19:15,Pump-2,Water leakage in cooling system,S. Kumar,6.5,Closed,Repaired and tested OK,Night,Weld-Seam-Scanner,Weld-Seam-Scanner
N14-009,2025-05-09,23:30,Pump-1,Water leakage in cooling system,A. Patel,6.8,Open,,Night,Weld-Seam-Scanner,Weld-Seam-Scanner
N14-010,2025-05-14,20:15,PLC-Panel,Motor overheating — bearing failure,P. Gupta,0.9,Closed,Repaired and tested OK,Night,Weld-Seam-Scanner,Weld-Seam-Scanner
N14-011,2025-05-15,21:00,Conveyor-Drive,Lubrication system fault — low level,A. Patel,6.5,Closed,Temporary fix applied,Night,Weld-Seam-Scanner,Weld-Seam-Scanner
N14-012,2025-05-02,20:00,Motor-A,Pneumatic pressure drop in actuator,N. Das,5.8,Closed,Spare part ordered — pending,Night,Weld-Seam-Scanner,Weld-Seam-Scanner
D15-001,2025-05-04,14:30,Motor-B,Control panel display blank,D. Mehta,4.9,Closed,Escalated to OEM,Day,UT-Scanner,UT-Scanner
D15-002,2025-05-27,08:45,PLC-Panel,Chain elongation on drive chain,S. Kumar,1.8,Open,Escalated to OEM,Day,UT-Scanner,UT-Scanner
D15-003,2025-05-24,08:45,Cylinder-Main,Torch height error — cutting machine,K. Yadav,1.5,Closed,Resolved by operator adjustment,Day,UT-Scanner,UT-Scanner
D15-004,2025-05-04,06:15,Conveyor-Drive,Lubrication system fault — low level,A. Patel,5.3,Closed,,Day,UT-Scanner,UT-Scanner
D15-005,2025-05-27,11:00,Pump-2,Control panel display blank,S. Kumar,1.8,Open,Spare part ordered — pending,Day,UT-Scanner,UT-Scanner
D15-006,2025-05-05,11:45,Motor-A,Vibration high on spindle motor,A. Patel,2.4,Closed,Preventive maintenance scheduled,Day,UT-Scanner,UT-Scanner
D15-007,2025-05-06,07:00,Motor-A,Emergency stop triggered — unknown cause,V. Joshi,6.0,Open,Resolved by operator adjustment,Day,UT-Scanner,UT-Scanner
D15-008,2025-05-16,12:30,Gearbox,PLC fault code F-204 — sensor error,V. Joshi,6.4,Closed,Root cause: wear and tear,Day,UT-Scanner,UT-Scanner
D15-009,2025-05-26,13:00,Motor-A,Oil contamination in gearbox,R. Sharma,2.9,Open,Spare part ordered — pending,Day,UT-Scanner,UT-Scanner
D15-010,2025-05-21,08:45,Pump-1,Torch height error — cutting machine,P. Gupta,4.6,Open,Spare part ordered — pending,Day,UT-Scanner,UT-Scanner
D15-011,2025-05-21,13:00,Gearbox,Chain elongation on drive chain,M. Singh,5.1,Closed,Repaired and tested OK,Day,UT-Scanner,UT-Scanner
D15-012,2025-05-28,11:15,Pump-2,Pipe OD out of spec — forming issue,B. Reddy,5.9,Closed,Preventive maintenance scheduled,Day,UT-Scanner,UT-Scanner
D15-013,2025-05-10,10:30,Pump-2,PLC fault code F-204 — sensor error,R. Sharma,3.4,Closed,,Day,UT-Scanner,UT-Scanner
D15-014,2025-05-27,06:30,Motor-A,Pipe OD out of spec — forming issue,P. Gupta,2.7,Closed,,Day,UT-Scanner,UT-Scanner
D15-015,2025-05-25,07:00,Pump-2,Coolant pump not starting,K. Yadav,7.8,Closed,Spare part ordered — pending,Day,UT-Scanner,UT-Scanner
N15-001,2025-05-22,21:45,PLC-Panel,Gear coupling worn — noise detected,K. Yadav,1.2,Closed,Temporary fix applied,Night,UT-Scanner,UT-Scanner
N15-002,2025-05-20,21:30,Pump-1,Hydraulic valve stuck open,R. Sharma,2.5,Closed,Root cause: wear and tear,Night,UT-Scanner,UT-Scanner
N15-003,2025-05-05,20:00,Pump-1,Coating thickness alarm,P. Gupta,1.1,Closed,Resolved by operator adjustment,Night,UT-Scanner,UT-Scanner
N15-004,2025-05-07,22:15,Motor-A,Emergency stop triggered — unknown cause,B. Reddy,3.6,Closed,,Night,UT-Scanner,UT-Scanner
N15-005,2025-05-13,19:45,Cylinder-Main,Conveyor belt slip / misalignment,D. Mehta,7.3,Closed,Temporary fix applied,Night,UT-Scanner,UT-Scanner
N15-006,2025-05-28,21:15,Pump-1,Weld seam out of tolerance,A. Patel,1.4,Closed,Resolved by operator adjustment,Night,UT-Scanner,UT-Scanner
N15-007,2025-05-25,23:15,Cylinder-Main,Limit switch failure — door interlock,P. Gupta,1.2,Closed,Escalated to OEM,Night,UT-Scanner,UT-Scanner
N15-008,2025-05-04,20:45,Motor-A,Electrical trip — overload relay,N. Das,4.9,Open,Spare part ordered — pending,Night,UT-Scanner,UT-Scanner
N15-009,2025-05-18,19:15,Motor-B,PLC fault code F-204 — sensor error,N. Das,6.3,Open,Escalated to OEM,Night,UT-Scanner,UT-Scanner
N15-010,2025-05-03,21:30,Gearbox,Chain elongation on drive chain,V. Joshi,4.8,Closed,Temporary fix applied,Night,UT-Scanner,UT-Scanner
N15-011,2025-05-23,21:15,Gearbox,Motor overheating — bearing failure,D. Mehta,7.2,Closed,Root cause: wear and tear,Night,UT-Scanner,UT-Scanner
N15-012,2025-05-30,23:45,Cylinder-Main,Control panel display blank,R. Sharma,3.0,Open,Preventive maintenance scheduled,Night,UT-Scanner,UT-Scanner
D16-001,2025-05-23,13:00,Pump-2,Pneumatic pressure drop in actuator,K. Yadav,7.8,Closed,Escalated to OEM,Day,Coating-Line-1,Coating-Line-1
D16-002,2025-05-23,12:00,Pump-2,Hydraulic valve stuck open,A. Patel,7.4,Closed,,Day,Coating-Line-1,Coating-Line-1
D16-003,2025-05-07,14:30,Motor-A,Encoder signal lost on servo axis,M. Singh,1.0,Closed,Resolved by operator adjustment,Day,Coating-Line-1,Coating-Line-1
D16-004,2025-05-27,14:00,Pump-1,Weld seam out of tolerance,A. Patel,6.8,Closed,,Day,Coating-Line-1,Coating-Line-1
D16-005,2025-05-30,11:15,Cylinder-Main,Control panel display blank,V. Joshi,4.3,Closed,Spare part ordered — pending,Day,Coating-Line-1,Coating-Line-1
D16-006,2025-05-10,06:15,Conveyor-Drive,Drive belt worn — replacement needed,N. Das,3.8,Open,,Day,Coating-Line-1,Coating-Line-1
D16-007,2025-05-13,14:30,Conveyor-Drive,Coolant pump not starting,K. Yadav,6.1,Closed,Preventive maintenance scheduled,Day,Coating-Line-1,Coating-Line-1
D16-008,2025-05-31,12:00,Pump-1,Water leakage in cooling system,A. Patel,6.9,Closed,Root cause: wear and tear,Day,Coating-Line-1,Coating-Line-1
D16-009,2025-05-23,12:00,Motor-A,Drive belt worn — replacement needed,M. Singh,5.4,Closed,Repaired and tested OK,Day,Coating-Line-1,Coating-Line-1
D16-010,2025-05-24,10:30,Cylinder-Main,Pipe OD out of spec — forming issue,D. Mehta,6.9,Closed,Root cause: wear and tear,Day,Coating-Line-1,Coating-Line-1
D16-011,2025-05-17,10:45,Motor-B,Hydraulic leak in main cylinder,B. Reddy,8.0,Open,Escalated to OEM,Day,Coating-Line-1,Coating-Line-1
D16-012,2025-05-14,10:30,Motor-B,Drive belt worn — replacement needed,P. Gupta,3.0,Closed,Escalated to OEM,Day,Coating-Line-1,Coating-Line-1
D16-013,2025-05-04,10:30,Cylinder-Main,Weld seam out of tolerance,M. Singh,4.4,Closed,Repaired and tested OK,Day,Coating-Line-1,Coating-Line-1
D16-014,2025-05-06,12:30,Pump-1,Torch height error — cutting machine,R. Sharma,5.4,Open,Preventive maintenance scheduled,Day,Coating-Line-1,Coating-Line-1
D16-015,2025-05-02,12:45,Gearbox,Torch height error — cutting machine,R. Sharma,4.9,Open,Root cause: wear and tear,Day,Coating-Line-1,Coating-Line-1
N16-001,2025-05-21,23:15,PLC-Panel,Gear coupling worn — noise detected,S. Kumar,4.3,Open,Temporary fix applied,Night,Coating-Line-1,Coating-Line-1
N16-002,2025-05-22,18:45,Pump-1,Torch height error — cutting machine,K. Yadav,5.9,Closed,Temporary fix applied,Night,Coating-Line-1,Coating-Line-1
N16-003,2025-05-10,20:00,Pump-2,Control panel display blank,A. Patel,6.1,Closed,Escalated to OEM,Night,Coating-Line-1,Coating-Line-1
N16-004,2025-05-20,20:30,PLC-Panel,PLC fault code F-204 — sensor error,V. Joshi,0.9,Closed,Spare part ordered — pending,Night,Coating-Line-1,Coating-Line-1
N16-005,2025-05-16,19:00,Gearbox,Encoder signal lost on servo axis,K. Yadav,3.6,Open,Temporary fix applied,Night,Coating-Line-1,Coating-Line-1
N16-006,2025-05-27,19:30,Gearbox,Water leakage in cooling system,V. Joshi,1.6,Open,Temporary fix applied,Night,Coating-Line-1,Coating-Line-1
N16-007,2025-05-07,18:45,Conveyor-Drive,Chain elongation on drive chain,M. Singh,2.9,Closed,,Night,Coating-Line-1,Coating-Line-1
N16-008,2025-05-23,19:15,Pump-1,Drive belt worn — replacement needed,P. Gupta,1.5,Closed,Resolved by operator adjustment,Night,Coating-Line-1,Coating-Line-1
N16-009,2025-05-19,21:45,Gearbox,Hydraulic leak in main cylinder,R. Sharma,4.5,Closed,Repaired and tested OK,Night,Coating-Line-1,Coating-Line-1
N16-010,2025-05-03,20:15,Motor-A,Gear coupling worn — noise detected,R. Sharma,5.2,Closed,Escalated to OEM,Night,Coating-Line-1,Coating-Line-1
N16-011,2025-05-22,19:00,Gearbox,Encoder signal lost on servo axis,N. Das,2.8,Closed,Repaired and tested OK,Night,Coating-Line-1,Coating-Line-1
N16-012,2025-05-22,20:45,Conveyor-Drive,Pipe OD out of spec — forming issue,M. Singh,3.1,Open,Escalated to OEM,Night,Coating-Line-1,Coating-Line-1
D17-001,2025-05-07,09:15,Gearbox,Hydraulic leak in main cylinder,A. Patel,2.2,Open,Root cause: wear and tear,Day,Coating-Line-2,Coating-Line-2
D17-002,2025-05-08,06:15,Motor-B,Control panel display blank,R. Sharma,3.3,Closed,Repaired and tested OK,Day,Coating-Line-2,Coating-Line-2
D17-003,2025-05-12,06:00,Motor-A,Motor overheating — bearing failure,P. Gupta,3.6,Closed,Preventive maintenance scheduled,Day,Coating-Line-2,Coating-Line-2
D17-004,2025-05-16,08:15,Motor-A,Oil contamination in gearbox,D. Mehta,5.5,Closed,Preventive maintenance scheduled,Day,Coating-Line-2,Coating-Line-2
D17-005,2025-05-12,08:45,Motor-B,Encoder signal lost on servo axis,N. Das,1.4,Closed,Spare part ordered — pending,Day,Coating-Line-2,Coating-Line-2
D17-006,2025-05-16,09:15,Cylinder-Main,Encoder signal lost on servo axis,A. Patel,3.2,Closed,Temporary fix applied,Day,Coating-Line-2,Coating-Line-2
D17-007,2025-05-30,14:45,Pump-2,Electrical trip — overload relay,V. Joshi,3.0,Closed,Spare part ordered — pending,Day,Coating-Line-2,Coating-Line-2
D17-008,2025-05-02,07:45,Pump-1,Conveyor belt slip / misalignment,B. Reddy,1.1,Closed,Preventive maintenance scheduled,Day,Coating-Line-2,Coating-Line-2
D17-009,2025-05-11,09:45,Cylinder-Main,Vibration high on spindle motor,V. Joshi,0.9,Open,Repaired and tested OK,Day,Coating-Line-2,Coating-Line-2
D17-010,2025-05-04,10:30,Conveyor-Drive,Pipe OD out of spec — forming issue,P. Gupta,1.2,Open,Repaired and tested OK,Day,Coating-Line-2,Coating-Line-2
D17-011,2025-05-31,08:15,Conveyor-Drive,Control panel display blank,V. Joshi,7.7,Closed,Spare part ordered — pending,Day,Coating-Line-2,Coating-Line-2
D17-012,2025-05-20,11:15,Motor-B,Emergency stop triggered — unknown cause,D. Mehta,7.7,Closed,Resolved by operator adjustment,Day,Coating-Line-2,Coating-Line-2
D17-013,2025-05-09,13:45,Pump-1,PLC fault code F-204 — sensor error,M. Singh,5.7,Closed,Temporary fix applied,Day,Coating-Line-2,Coating-Line-2
D17-014,2025-05-28,12:45,PLC-Panel,Coolant pump not starting,N. Das,3.3,Closed,Repaired and tested OK,Day,Coating-Line-2,Coating-Line-2
D17-015,2025-05-04,08:45,PLC-Panel,PLC fault code F-204 — sensor error,D. Mehta,3.8,Closed,Escalated to OEM,Day,Coating-Line-2,Coating-Line-2
N17-001,2025-05-31,23:15,Conveyor-Drive,Encoder signal lost on servo axis,B. Reddy,5.7,Closed,Resolved by operator adjustment,Night,Coating-Line-2,Coating-Line-2
N17-002,2025-05-10,23:15,PLC-Panel,Control panel display blank,D. Mehta,1.6,Open,Repaired and tested OK,Night,Coating-Line-2,Coating-Line-2
N17-003,2025-05-31,23:15,PLC-Panel,Drive belt worn — replacement needed,M. Singh,1.1,Closed,Root cause: wear and tear,Night,Coating-Line-2,Coating-Line-2
N17-004,2025-05-21,20:00,Pump-2,Air compressor pressure low,D. Mehta,3.5,Closed,,Night,Coating-Line-2,Coating-Line-2
N17-005,2025-05-17,22:45,Motor-B,Drive belt worn — replacement needed,V. Joshi,2.9,Open,Repaired and tested OK,Night,Coating-Line-2,Coating-Line-2
N17-006,2025-05-28,21:45,Motor-A,Air compressor pressure low,B. Reddy,0.5,Closed,Preventive maintenance scheduled,Night,Coating-Line-2,Coating-Line-2
N17-007,2025-05-03,22:15,PLC-Panel,Limit switch failure — door interlock,S. Kumar,6.7,Open,,Night,Coating-Line-2,Coating-Line-2
N17-008,2025-05-21,22:45,Conveyor-Drive,Electrical trip — overload relay,V. Joshi,1.4,Open,Root cause: wear and tear,Night,Coating-Line-2,Coating-Line-2
N17-009,2025-05-31,20:30,Cylinder-Main,Air compressor pressure low,B. Reddy,3.3,Closed,Temporary fix applied,Night,Coating-Line-2,Coating-Line-2
N17-010,2025-05-16,19:45,Motor-B,Vibration high on spindle motor,N. Das,2.0,Closed,Resolved by operator adjustment,Night,Coating-Line-2,Coating-Line-2
N17-011,2025-05-25,21:15,Conveyor-Drive,PLC fault code F-204 — sensor error,D. Mehta,0.8,Closed,Spare part ordered — pending,Night,Coating-Line-2,Coating-Line-2
N17-012,2025-05-07,21:45,Pump-1,Drive belt worn — replacement needed,R. Sharma,4.5,Closed,Resolved by operator adjustment,Night,Coating-Line-2,Coating-Line-2
D18-001,2025-05-05,13:15,Pump-1,Torch height error — cutting machine,M. Singh,1.3,Closed,Escalated to OEM,Day,Bevel-Machine-1,Bevel-Machine-1
D18-002,2025-05-15,12:45,Pump-2,Vibration high on spindle motor,D. Mehta,7.7,Open,,Day,Bevel-Machine-1,Bevel-Machine-1
D18-003,2025-05-06,08:15,Gearbox,Lubrication system fault — low level,B. Reddy,2.7,Closed,Escalated to OEM,Day,Bevel-Machine-1,Bevel-Machine-1
D18-004,2025-05-09,14:15,Pump-2,Weld seam out of tolerance,N. Das,5.9,Closed,Temporary fix applied,Day,Bevel-Machine-1,Bevel-Machine-1
D18-005,2025-05-09,08:30,Motor-B,Coating thickness alarm,S. Kumar,4.7,Closed,Resolved by operator adjustment,Day,Bevel-Machine-1,Bevel-Machine-1
D18-006,2025-05-10,14:30,Gearbox,Hydraulic leak in main cylinder,B. Reddy,1.3,Closed,Repaired and tested OK,Day,Bevel-Machine-1,Bevel-Machine-1
D18-007,2025-05-10,06:15,Cylinder-Main,Coating thickness alarm,M. Singh,7.9,Closed,Temporary fix applied,Day,Bevel-Machine-1,Bevel-Machine-1
D18-008,2025-05-05,06:30,Pump-2,Coating thickness alarm,B. Reddy,0.7,Open,Spare part ordered — pending,Day,Bevel-Machine-1,Bevel-Machine-1
D18-009,2025-05-12,14:15,Gearbox,Strip break at forming section,B. Reddy,6.4,Open,Preventive maintenance scheduled,Day,Bevel-Machine-1,Bevel-Machine-1
D18-010,2025-05-09,06:45,Gearbox,Pipe OD out of spec — forming issue,S. Kumar,7.7,Closed,Preventive maintenance scheduled,Day,Bevel-Machine-1,Bevel-Machine-1
D18-011,2025-05-25,13:15,Conveyor-Drive,Coating thickness alarm,N. Das,4.6,Closed,Root cause: wear and tear,Day,Bevel-Machine-1,Bevel-Machine-1
D18-012,2025-05-22,13:15,Motor-B,Coolant pump not starting,M. Singh,6.0,Closed,Repaired and tested OK,Day,Bevel-Machine-1,Bevel-Machine-1
D18-013,2025-05-18,10:30,Pump-1,Coolant pump not starting,N. Das,6.8,Closed,,Day,Bevel-Machine-1,Bevel-Machine-1
D18-014,2025-05-09,08:00,Pump-1,Limit switch failure — door interlock,N. Das,0.9,Open,Preventive maintenance scheduled,Day,Bevel-Machine-1,Bevel-Machine-1
D18-015,2025-05-16,14:30,Motor-B,Electrical trip — overload relay,S. Kumar,4.4,Open,Spare part ordered — pending,Day,Bevel-Machine-1,Bevel-Machine-1
N18-001,2025-05-06,22:15,Gearbox,Air compressor pressure low,B. Reddy,3.5,Closed,Root cause: wear and tear,Night,Bevel-Machine-1,Bevel-Machine-1
N18-002,2025-05-10,20:30,Conveyor-Drive,Oil contamination in gearbox,A. Patel,7.6,Closed,,Night,Bevel-Machine-1,Bevel-Machine-1
N18-003,2025-05-14,23:00,Motor-B,Gear coupling worn — noise detected,S. Kumar,3.8,Open,Root cause: wear and tear,Night,Bevel-Machine-1,Bevel-Machine-1
N18-004,2025-05-30,23:30,Gearbox,PLC fault code F-204 — sensor error,D. Mehta,2.4,Closed,Repaired and tested OK,Night,Bevel-Machine-1,Bevel-Machine-1
N18-005,2025-05-02,22:30,PLC-Panel,Drive belt worn — replacement needed,R. Sharma,2.7,Closed,Escalated to OEM,Night,Bevel-Machine-1,Bevel-Machine-1
N18-006,2025-05-15,18:00,Pump-1,Coating thickness alarm,B. Reddy,4.5,Closed,Root cause: wear and tear,Night,Bevel-Machine-1,Bevel-Machine-1
N18-007,2025-05-10,23:15,Gearbox,PLC fault code F-204 — sensor error,A. Patel,4.5,Closed,Resolved by operator adjustment,Night,Bevel-Machine-1,Bevel-Machine-1
N18-008,2025-05-11,18:15,Motor-A,Hydraulic valve stuck open,S. Kumar,0.8,Closed,Temporary fix applied,Night,Bevel-Machine-1,Bevel-Machine-1
N18-009,2025-05-06,20:00,Pump-2,Vibration high on spindle motor,D. Mehta,3.4,Closed,Resolved by operator adjustment,Night,Bevel-Machine-1,Bevel-Machine-1
N18-010,2025-05-21,18:45,Motor-B,Air compressor pressure low,R. Sharma,5.3,Closed,Repaired and tested OK,Night,Bevel-Machine-1,Bevel-Machine-1
N18-011,2025-05-09,18:30,Motor-B,Oil contamination in gearbox,K. Yadav,5.0,Closed,,Night,Bevel-Machine-1,Bevel-Machine-1
N18-012,2025-05-19,21:00,PLC-Panel,Coolant pump not starting,B. Reddy,2.1,Closed,Preventive maintenance scheduled,Night,Bevel-Machine-1,Bevel-Machine-1
D19-001,2025-05-11,08:30,Conveyor-Drive,Hydraulic leak in main cylinder,B. Reddy,7.1,Closed,Repaired and tested OK,Day,Bevel-Machine-2,Bevel-Machine-2
D19-002,2025-05-31,12:00,Cylinder-Main,Weld seam out of tolerance,S. Kumar,2.1,Open,Temporary fix applied,Day,Bevel-Machine-2,Bevel-Machine-2
D19-003,2025-05-26,08:15,Cylinder-Main,Weld seam out of tolerance,P. Gupta,1.9,Open,Repaired and tested OK,Day,Bevel-Machine-2,Bevel-Machine-2
D19-004,2025-05-04,14:45,Motor-B,Oil contamination in gearbox,P. Gupta,2.4,Closed,,Day,Bevel-Machine-2,Bevel-Machine-2
D19-005,2025-05-21,11:15,Pump-2,PLC fault code F-204 — sensor error,K. Yadav,5.1,Open,Escalated to OEM,Day,Bevel-Machine-2,Bevel-Machine-2
D19-006,2025-05-16,13:30,Cylinder-Main,Electrical trip — overload relay,N. Das,1.6,Closed,Escalated to OEM,Day,Bevel-Machine-2,Bevel-Machine-2
D19-007,2025-05-18,08:00,Conveyor-Drive,Strip break at forming section,A. Patel,5.8,Closed,Preventive maintenance scheduled,Day,Bevel-Machine-2,Bevel-Machine-2
D19-008,2025-05-05,11:15,Conveyor-Drive,Drive belt worn — replacement needed,V. Joshi,3.8,Open,,Day,Bevel-Machine-2,Bevel-Machine-2
D19-009,2025-05-14,07:15,Motor-B,Vibration high on spindle motor,M. Singh,7.2,Closed,Spare part ordered — pending,Day,Bevel-Machine-2,Bevel-Machine-2
D19-010,2025-05-08,07:00,Motor-A,Water leakage in cooling system,N. Das,3.5,Closed,Repaired and tested OK,Day,Bevel-Machine-2,Bevel-Machine-2
D19-011,2025-05-14,10:45,Pump-1,Control panel display blank,D. Mehta,2.2,Open,Preventive maintenance scheduled,Day,Bevel-Machine-2,Bevel-Machine-2
D19-012,2025-05-27,13:00,Gearbox,Control panel display blank,B. Reddy,0.6,Closed,Temporary fix applied,Day,Bevel-Machine-2,Bevel-Machine-2
D19-013,2025-05-07,14:15,PLC-Panel,Coolant pump not starting,M. Singh,4.7,Closed,Temporary fix applied,Day,Bevel-Machine-2,Bevel-Machine-2
D19-014,2025-05-08,13:30,Motor-A,Strip break at forming section,V. Joshi,2.2,Closed,Root cause: wear and tear,Day,Bevel-Machine-2,Bevel-Machine-2
D19-015,2025-05-30,09:30,Gearbox,Drive belt worn — replacement needed,V. Joshi,7.1,Closed,Escalated to OEM,Day,Bevel-Machine-2,Bevel-Machine-2
N19-001,2025-05-28,23:30,Cylinder-Main,Water leakage in cooling system,B. Reddy,4.8,Closed,Resolved by operator adjustment,Night,Bevel-Machine-2,Bevel-Machine-2
N19-002,2025-05-20,22:00,Cylinder-Main,Emergency stop triggered — unknown cause,A. Patel,4.4,Closed,Escalated to OEM,Night,Bevel-Machine-2,Bevel-Machine-2
N19-003,2025-05-16,21:00,Pump-1,Hydraulic valve stuck open,M. Singh,2.2,Closed,Preventive maintenance scheduled,Night,Bevel-Machine-2,Bevel-Machine-2
N19-004,2025-05-25,19:15,Pump-1,Control panel display blank,N. Das,5.9,Closed,Root cause: wear and tear,Night,Bevel-Machine-2,Bevel-Machine-2
N19-005,2025-05-18,20:00,PLC-Panel,Gear coupling worn — noise detected,V. Joshi,4.1,Closed,Resolved by operator adjustment,Night,Bevel-Machine-2,Bevel-Machine-2
N19-006,2025-05-31,19:00,Pump-1,Water leakage in cooling system,N. Das,1.7,Closed,Repaired and tested OK,Night,Bevel-Machine-2,Bevel-Machine-2
N19-007,2025-05-03,22:15,Motor-A,Coolant pump not starting,K. Yadav,7.4,Closed,Resolved by operator adjustment,Night,Bevel-Machine-2,Bevel-Machine-2
N19-008,2025-05-12,22:00,Cylinder-Main,Conveyor belt slip / misalignment,A. Patel,3.9,Open,,Night,Bevel-Machine-2,Bevel-Machine-2
N19-009,2025-05-26,19:45,Pump-1,Water leakage in cooling system,M. Singh,5.2,Closed,Temporary fix applied,Night,Bevel-Machine-2,Bevel-Machine-2
N19-010,2025-05-08,23:30,PLC-Panel,Lubrication system fault — low level,N. Das,1.0,Closed,Temporary fix applied,Night,Bevel-Machine-2,Bevel-Machine-2
N19-011,2025-05-28,18:15,Gearbox,Pneumatic pressure drop in actuator,N. Das,1.2,Closed,Repaired and tested OK,Night,Bevel-Machine-2,Bevel-Machine-2
N19-012,2025-05-03,22:00,Motor-B,Drive belt worn — replacement needed,M. Singh,7.3,Closed,Repaired and tested OK,Night,Bevel-Machine-2,Bevel-Machine-2
D20-001,2025-05-03,12:45,Conveyor-Drive,Motor overheating — bearing failure,B. Reddy,3.7,Open,,Day,Cut-Off-Saw,Cut-Off-Saw
D20-002,2025-05-06,12:30,Motor-B,Pipe OD out of spec — forming issue,M. Singh,2.4,Open,Spare part ordered — pending,Day,Cut-Off-Saw,Cut-Off-Saw
D20-003,2025-05-22,14:45,Cylinder-Main,Weld seam out of tolerance,R. Sharma,5.8,Open,Spare part ordered — pending,Day,Cut-Off-Saw,Cut-Off-Saw
